Time,Count
2020-11-01,6991
2020-11-02,14234
2020-11-03,14861
2020-11-04,15391
2020-11-05,15631
2020-11-06,16428
2020-11-07,10811
2020-11-08,7712
2020-11-09,14988
2020-11-10,15350
2020-11-11,15801
2020-11-12,16048
2020-11-13,16713
2020-11-14,10719
2020-11-15,8006
2020-11-16,15136
2020-11-17,14981
2020-11-18,15124
2020-11-19,15437
2020-11-20,16288
2020-11-21,10032
2020-11-22,7671
2020-11-23,14950
2020-11-24,15581
2020-11-25,15815
2020-11-26,16346
2020-11-27,16868
2020-11-28,10882
2020-11-29,8236
2020-11-30,15547
2020-12-01,17973
2020-12-02,18304
2020-12-03,18799
2020-12-04,19922
2020-12-05,15547
2020-12-06,12879
2020-12-07,18162
2020-12-08,18616
2020-12-09,19344
2020-12-10,19774
2020-12-11,20673
2020-12-12,15889
2020-12-13,12506
2020-12-14,18769
2020-12-15,19346
2020-12-16,19062
2020-12-17,20121
2020-12-18,21879
2020-12-19,16893
2020-12-20,14260
2020-12-21,20730
2020-12-22,21577
2020-12-23,20779
2020-12-24,13792
2020-12-25,4936
2020-12-26,6630
2020-12-27,7768
2020-12-28,8964
2020-12-29,11946
2020-12-30,13228
2020-12-31,11239
2021-01-01,4661
2021-01-02,7583
2021-01-03,7293
2021-01-04,11531
2021-01-05,12050
2021-01-06,11874
2021-01-07,11773
2021-01-08,12258
2021-01-09,7845
2021-01-10,5669
2021-01-11,10961
2021-01-12,10919
2021-01-13,11399
2021-01-14,11505
2021-01-15,12052
2021-01-16,7898
2021-01-17,5399
2021-01-18,10889
2021-01-19,11090
2021-01-20,11347
2021-01-21,11362
2021-01-22,11892
Workday,15050
7 Day,13547
Count,1128135
