Time,Count
2020-11-01,9344
2020-11-02,18660
2020-11-03,19380
2020-11-04,19230
2020-11-05,19184
2020-11-06,20505
2020-11-07,13485
2020-11-08,10549
2020-11-09,19354
2020-11-10,19802
2020-11-11,19659
2020-11-12,20329
2020-11-13,21248
2020-11-14,13584
2020-11-15,10991
2020-11-16,19262
2020-11-17,19712
2020-11-18,20157
2020-11-19,20972
2020-11-20,21598
2020-11-21,13926
2020-11-22,11347
2020-11-23,19442
2020-11-24,19914
2020-11-25,20450
2020-11-26,21068
2020-11-27,22189
2020-11-28,14356
2020-11-29,11612
2020-11-30,20433
2020-12-01,22452
2020-12-02,22955
2020-12-03,23581
2020-12-04,24387
2020-12-05,18374
2020-12-06,16146
2020-12-07,22780
2020-12-08,22885
2020-12-09,22717
2020-12-10,23764
2020-12-11,24932
2020-12-12,18984
2020-12-13,15687
2020-12-14,23369
2020-12-15,23772
2020-12-16,24009
2020-12-17,24779
2020-12-18,25481
2020-12-19,19937
2020-12-20,18285
2020-12-21,23035
2020-12-22,24740
2020-12-23,23492
2020-12-24,16462
2020-12-25,6795
2020-12-26,9661
2020-12-27,11091
2020-12-28,12641
2020-12-29,15718
2020-12-30,17559
2020-12-31,14637
2021-01-01,6986
2021-01-02,9734
2021-01-03,8705
2021-01-04,16121
2021-01-05,16445
2021-01-06,16447
2021-01-07,15949
2021-01-08,16772
2021-01-09,10114
2021-01-10,7916
2021-01-11,14950
2021-01-12,14859
2021-01-13,15057
2021-01-14,15417
2021-01-15,15986
2021-01-16,10065
2021-01-17,7646
2021-01-18,15065
2021-01-19,15284
2021-01-20,15539
2021-01-21,16020
2021-01-22,16822
Workday,19220
7 Day,17350
Count,1444748
