Time,Count
2020-11-01,44745
2020-11-02,116154
2020-11-03,120264
2020-11-04,121900
2020-11-05,123834
2020-11-06,127025
2020-11-07,71716
2020-11-08,50738
2020-11-09,119009
2020-11-10,123305
2020-11-11,123513
2020-11-12,126421
2020-11-13,129154
2020-11-14,72598
2020-11-15,53337
2020-11-16,120246
2020-11-17,124501
2020-11-18,126108
2020-11-19,128736
2020-11-20,130942
2020-11-21,75915
2020-11-22,56825
2020-11-23,123028
2020-11-24,124789
2020-11-25,129867
2020-11-26,130629
2020-11-27,133819
2020-11-28,79290
2020-11-29,60291
2020-11-30,125087
2020-12-01,136219
2020-12-02,141512
2020-12-03,143050
2020-12-04,145840
2020-12-05,100754
2020-12-06,82173
2020-12-07,138449
2020-12-08,141202
2020-12-09,140049
2020-12-10,144798
2020-12-11,150678
2020-12-12,109203
2020-12-13,85568
2020-12-14,142978
2020-12-15,146075
2020-12-16,149124
2020-12-17,150179
2020-12-18,151562
2020-12-19,121292
2020-12-20,106824
2020-12-21,147641
2020-12-22,147021
2020-12-23,133000
2020-12-24,93215
2020-12-25,51392
2020-12-26,63708
2020-12-27,59845
2020-12-28,65971
2020-12-29,81471
2020-12-30,89256
2020-12-31,65898
2021-01-01,32351
2021-01-02,47726
2021-01-03,43585
2021-01-04,94507
2021-01-05,96882
2021-01-06,99285
2021-01-07,96005
2021-01-08,101794
2021-01-09,50326
2021-01-10,38456
2021-01-11,89185
2021-01-12,89778
2021-01-13,91034
2021-01-14,92122
2021-01-15,95889
2021-01-16,51722
2021-01-17,37038
2021-01-18,91594
2021-01-19,92035
2021-01-20,90161
2021-01-21,95508
2021-01-22,98715
Workday,116196
7 Day,102422
Count,8535431
