Time,Count
2020-11-01,13616
2020-11-02,29938
2020-11-03,30201
2020-11-04,30701
2020-11-05,31863
2020-11-06,33446
2020-11-07,18005
2020-11-08,14336
2020-11-09,30660
2020-11-10,31317
2020-11-11,31073
2020-11-12,32478
2020-11-13,34090
2020-11-14,18718
2020-11-15,15494
2020-11-16,31452
2020-11-17,31612
2020-11-18,32474
2020-11-19,32942
2020-11-20,34627
2020-11-21,18985
2020-11-22,16080
2020-11-23,32096
2020-11-24,32245
2020-11-25,33232
2020-11-26,34567
2020-11-27,35925
2020-11-28,20438
2020-11-29,17336
2020-11-30,33326
2020-12-01,38169
2020-12-02,39563
2020-12-03,41530
2020-12-04,45381
2020-12-05,30718
2020-12-06,29517
2020-12-07,42398
2020-12-08,41480
2020-12-09,42539
2020-12-10,43954
2020-12-11,46783
2020-12-12,33701
2020-12-13,30375
2020-12-14,43240
2020-12-15,43215
2020-12-16,43971
2020-12-17,46865
2020-12-18,53477
2020-12-19,43150
2020-12-20,41689
2020-12-21,48707
2020-12-22,47437
2020-12-23,46211
2020-12-24,29014
2020-12-25,11788
2020-12-26,26414
2020-12-27,21113
2020-12-28,23003
2020-12-29,25900
2020-12-30,28347
2020-12-31,20375
2021-01-01,9684
2021-01-02,14804
2021-01-03,14402
2021-01-04,24844
2021-01-05,25115
2021-01-06,25652
2021-01-07,24488
2021-01-08,26905
2021-01-09,13413
2021-01-10,11387
2021-01-11,24201
2021-01-12,23734
2021-01-13,24058
2021-01-14,24748
2021-01-15,25893
2021-01-16,14001
2021-01-17,10864
2021-01-18,24334
2021-01-19,24108
2021-01-20,24760
2021-01-21,25674
2021-01-22,26406
Workday,32637
7 Day,29381
Count,2446772
